"athlete_number","athlete_relative_age","active_minutes","total_distance_m","max_speed_kph","session_load","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank"
1018,18,90,3880.64,24.26,458.53,49.5424836601307,70.1307189542484,47.2549019607843
1018,18,120,2742.19,26.04,357.28,35.2941176470588,84.3137254901961,36.1437908496732
1018,18,90,5627.94,22.02,1039.85,76.9281045751634,51.7647058823529,88.0392156862745
1018,18,90,4359.94,21.78,561.44,57.2549019607843,48.8888888888889,57.3202614379085
1018,18,90,484.12,4.78,15.35,11.437908496732,0.130718954248366,1.50326797385621
1018,18,120,1319.92,19.37,143.63,19.4771241830065,24.9673202614379,17.9738562091503
1018,18,120,377.49,8.09,38.1,5.22875816993464,7.18954248366013,10.2614379084967
1018,18,120,5641.85,19.92,762.98,77.124183006536,28.7581699346405,73.1372549019608
1018,18,120,2835.94,18.8,389.32,36.9281045751634,22.156862745098,39.0196078431373
1018,18,120,4559.67,21.5,629.93,60.8496732026144,45.6209150326797,62.6143790849673
1018,18,120,436.85,8.34,45.68,8.10457516339869,7.84313725490196,12.7450980392157
1018,18,120,5759.73,25.41,860.16,78.3660130718954,80.5882352941177,78.8888888888889
1018,18,120,5661.5,24.22,893.52,77.2549019607843,69.7385620915033,80.9150326797386
1018,18,90,1907.2,19.72,188.24,23.9869281045752,27.2549019607843,21.7647058823529
1018,18,120,2625.19,17.31,311.75,32.875816993464,18.8235294117647,32.4183006535948
1018,18,90,1592.27,23.05,177.96,21.6993464052288,62.0915032679739,20.4575163398693
1018,18,90,2873.59,24.48,479.39,37.2549019607843,72.0261437908497,49.6732026143791
1018,18,90,1579.99,22.88,280.12,21.437908496732,60.3921568627451,29.7385620915033
1018,18,120,2772.64,18.58,291.84,35.8169934640523,21.5032679738562,30.5882352941176
1018,18,120,8274.06,24.82,1324.26,95.9477124183007,75.4901960784314,94.9673202614379
1018,18,120,5324.1,25.61,770.28,72.2875816993464,82.0915032679738,73.5294117647059
1018,18,120,5636.81,22.4,758.99,77.0588235294118,55.1633986928105,73.0065359477124
1018,18,90,846.76,10.02,68.07,15.9477124183007,10.9803921568627,15.0326797385621
1018,18,90,2120.28,23.02,389.05,26.4705882352941,61.6339869281046,38.9542483660131
1018,18,120,5038.21,42.02,560.9,68.3660130718954,98.8235294117647,57.0588235294118
1018,18,120,4335.08,24.76,560.58,56.797385620915,75.0326797385621,56.9934640522876
1018,18,120,5087.93,20.81,674.2,69.0196078431373,37.3856209150327,66.2091503267974
1018,18,90,3914.63,20.59,551.48,50.5228758169935,34.8366013071895,56.4705882352941
1018,18,120,2624.79,40.84,444.55,32.8104575163399,97.4509803921569,45.0326797385621
1018,18,120,5625.62,40.91,833.35,76.8627450980392,98.3006535947712,77.6470588235294
1018,18,90,2424.54,21.8,398.54,30.1960784313725,49.2156862745098,40.1307189542484
1018,18,90,4297.37,21.35,593.28,55.8169934640523,44.5098039215686,59.4771241830065
1018,18,90,4065.38,21.53,517.85,52.6143790849673,45.9477124183007,53.3333333333333
1018,18,85,3485.78,19.98,439.02,43.6601307189542,29.0196078431373,44.2483660130719
1018,18,90,4475.29,24.62,590.1,59.5424836601307,73.5294117647059,59.2156862745098
1018,18,120,431.93,12.34,27.37,7.64705882352941,13.5947712418301,5.03267973856209
1018,18,120,473.75,7.5,34.37,10.8496732026144,5.09803921568627,7.90849673202614
1018,18,120,651.24,10.67,33.44,14.8366013071895,12.0261437908497,7.51633986928105
1018,18,120,426.95,6.58,21.17,7.18954248366013,2.48366013071895,2.61437908496732
1018,18,120,543.48,8.06,32.3,12.6797385620915,6.99346405228758,6.79738562091503
1018,18,90,470.59,7.82,29.92,10.5882352941176,6.1437908496732,5.68627450980392
1018,18,90,3685.91,23.46,565.86,46.078431372549,65.4248366013072,57.7124183006536
1018,18,90,2965.78,20.55,404.39,38.3660130718954,34.5751633986928,40.6535947712418
1018,18,120,452.21,8.42,35.26,9.41176470588235,8.10457516339869,8.43137254901961
1018,18,120,519.65,7.6,19.41,12.156862745098,5.42483660130719,2.28758169934641
1018,18,90,3603,20.9,467.57,44.9673202614379,39.0196078431373,48.6928104575163
1018,18,90,1800.37,19.54,224.4,23.3333333333333,26.078431372549,24.8366013071895
1018,18,90,4842.84,21.15,730.12,65.4248366013072,41.9607843137255,70.6535947712418
1081,18,90,7606.28,23.98,985.12,93.0718954248366,68.2352941176471,85.1633986928105
1081,18,90,7031.86,25.34,999.52,90.1960784313726,79.9346405228758,86.0130718954248
1081,18,120,1904.57,17.75,336.5,23.921568627451,19.4771241830065,34.3790849673203
1081,18,90,1237.55,15.19,201.64,18.6928104575163,17.1895424836601,22.7450980392157
