"athlete_number","athlete_relative_age","w_total_distance","w_session_load","w_max_speed_kph","w_sprint_events","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","sprint_events_perc_rank","num_sessions"
1018,18,2932.79180570222,402.333896515311,18.140464625132,0.646251319957761,17.2413793103448,20.6896551724138,20.6896551724138,31.0344827586207,30
1081,18,4226.45,559.11648622982,20.6927255460589,2.05128205128205,65.5172413793103,51.7241379310345,51.7241379310345,82.7586206896552,30
2227,20,3470.31891579407,463.201047120419,20.6325938045375,0.444153577661431,29.0322580645161,29.0322580645161,32.258064516129,16.1290322580645,32
5841,20,3683.54257109692,512.200576513832,21.1292184174889,0.521183981427742,45.1612903225806,38.7096774193548,48.3870967741936,25.8064516129032,32
6200,21,4615.09,433.76,26.46,6,90,100,40,90,11
6613,20,3531.90768321513,448.136120304702,19.9722616233255,0.39926451273969,32.258064516129,12.9032258064516,22.5806451612903,12.9032258064516,32
7181,20,3940.71749335695,565.84923826395,21.0804384410983,1.02568644818423,58.0645161290323,35.4838709677419,64.5161290322581,54.8387096774194,32
8588,18,3345.72607865169,442.347707865169,19.9798876404494,0.674157303370786,27.5862068965517,44.8275862068966,27.5862068965517,34.4827586206897,30
8993,21,3044.94463172043,418.65611827957,19.9796747311828,0.572311827956989,20,20,30,30,11
9385,18,4982.75358695652,820.554230072464,23.6672192028986,2.79076086956522,93.1034482758621,96.551724137931,96.551724137931,96.551724137931,30
10135,20,4668.08648367061,624.278553396113,22.8219475055099,2.01162091765177,77.4193548387097,80.6451612903226,70.9677419354839,80.6451612903226,32
12385,20,3902.57353457739,481.821427003293,22.3837760702525,2.20124405415295,54.8387096774194,61.2903225806452,38.7096774193548,83.8709677419355,32
13689,18,3281.02724637681,278.161207729469,18.3281352657005,0.220289855072464,24.1379310344828,24.1379310344828,13.7931034482759,6.89655172413793,30
14904,18,3026.92266292135,454.480292134831,17.9017752808989,0.784269662921348,20.6896551724138,17.2413793103448,34.4827586206897,41.3793103448276,30
15725,19,5454.48488095238,622.343601190476,24.02125,2.41666666666667,50,100,25,80,21
15959,19,5780.93235119048,742.704077380952,23.6065476190476,2.55357142857143,90,95,60,90,21
19179,18,3656.94128468654,631.860421377184,19.6459095580678,0.809866392600206,44.8275862068966,37.9310344827586,79.3103448275862,44.8275862068966,30
20057,20,2579.20348566681,297.047764852513,17.8092064810968,0.227253842958039,0,3.2258064516129,0,3.2258064516129,32
20562,18,1320.7012335958,126.32469816273,13.1074803149606,0.094488188976378,3.44827586206897,3.44827586206897,3.44827586206897,3.44827586206897,30
