athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
121,22,Male,association_football,DI,105,"6,300",420.34,0,0,0,0,0.24,17.29,0,1,0,4.72,4,60.55,32.32
121,22,Male,association_football,DI,105,"6,300","5,338.84",186.43,17.67,21,2,3.05,26.85,52,56,6,7.93,50.85,62.41,682.92
121,22,Male,association_football,DI,93,"5,580","7,642.49",35.12,0,4,0,4.93,22.88,33,32,5.42,6.25,82.18,53.19,943.24
121,22,Male,association_football,DI,105,"6,300","6,232.37",49.94,0,5,0,3.56,24.7,57,42,6.52,7.07,59.36,86.49,820.85
121,22,Male,association_football,DI,120,"7,200","6,176.19",69.23,0,8,0,3.09,23.05,24,26,5.14,6.85,51.47,80.73,789.27
121,22,Male,association_football,DI,111,"6,660",336.67,0,0,0,0,0.18,15.03,8,1,4.65,2.68,3.03,52.64,35.81
121,22,Male,association_football,DI,111,"6,660",312.28,0,0,0,0,0.17,10.12,6,0,4.11,0,2.81,35.43,24.84
121,22,Male,association_football,DI,106,"6,360","6,640.74",109.31,8.84,18,2,3.76,25.62,89,85,9.11,8.07,62.65,59.57,677.84
121,22,Male,association_football,DI,85,"5,100","5,739.79",59.32,0,5,0,4.05,23.59,37,45,5.43,7.48,67.53,54.84,751.74
121,22,Male,association_football,DI,95,"5,700","7,514.65",94.26,0,10,0,4.75,23.76,43,56,4.84,6.31,79.1,55.25,"1,077.63"
121,22,Male,association_football,DI,66,"3,960","4,868.25",51.61,0,5,0,4.43,24.54,52,35,5.39,5.88,73.76,57.05,637.93
121,22,Male,association_football,DI,90,"5,400","5,297.81",58.52,0,6,0,3.53,22.99,68,73,7.7,7.98,58.86,53.44,532.43
121,22,Male,association_football,DI,90,"5,400","4,464.70",3.77,0,1,0,2.98,19.98,33,19,4.77,5.64,49.61,46.46,483.36
121,22,Male,association_football,DI,115,"6,900","4,794.77",32.54,0,6,0,2.5,21.76,84,72,7.41,8.79,41.69,50.6,493.96
121,22,Male,association_football,DI,103,"6,180","3,142.12",0,0,0,0,1.83,9.33,0,0,0,0,30.51,21.69,66.47
121,22,Male,association_football,DI,60,"3,600",195.75,0,0,0,0,0.2,2.65,0,0,0,0,3.26,6.16,0.43
121,22,Male,association_football,DI,83,"4,980","4,744.46",83.82,27.67,9,2,3.43,28.55,27,18,6.01,5.83,57.16,125.58,580.19
121,22,Male,association_football,DI,113,"6,780",588.43,23.83,0,1,0,0.31,23.73,2,2,4.49,4.4,5.21,55.35,98.59
121,22,Male,association_football,DI,111,"6,660","7,226.96",90.14,0,9,0,3.91,22.74,83,54,5.82,6.05,65.11,0,891.34
121,22,Male,association_football,DI,110,"6,600",331.04,0,0,0,0,0.18,7.82,0,0,0,0,3.01,27.37,19.31
121,22,Male,association_football,DI,71,"4,260","3,318.53",164.83,0,11,0,2.8,23.73,16,19,5.72,5.54,46.74,83.09,353.93
121,22,Male,association_football,DI,81,"4,860","5,274.22",63.53,4.39,4,1,3.91,25.35,48,22,5.45,5.04,65.11,58.95,708.43
121,22,Male,association_football,DI,111,"6,660",290.81,0,0,0,0,0.16,16.41,5,3,3.96,3.37,2.62,57.48,34.01
121,22,Male,association_football,DI,51,"3,060","3,553.26",0,0,0,0,4.18,18.23,11,8,9.11,3.92,69.67,63.85,227.68
121,22,Male,association_football,DI,70,"4,200","4,236.45",25.27,0,4,0,3.63,20.98,63,31,5.38,5.63,60.52,48.77,542.29
121,22,Male,association_football,DI,115,"6,900","6,962.23",134.67,22.95,15,3,3.63,26.51,39,42,5.48,7.81,60.54,61.63,868.09
121,22,Male,association_football,DI,105,"6,300","6,729.70",176.57,29.61,13,2,3.85,27.51,63,39,5.86,5.58,64.09,63.97,819.65
121,22,Male,association_football,DI,297,"17,820","5,291.50",73.19,781.75,6,15,1.07,43.01,0,0,0,0,17.82,100.33,119.99
121,22,Male,association_football,DI,92,"5,520","4,442.72",102.49,33.25,12,2,2.9,27.6,59,48,7.07,8.92,48.29,64.16,456.75
121,22,Male,association_football,DI,92,"5,520","4,777.05",74.67,0,8,0,3.12,23.12,51,54,7.99,9.97,51.92,53.75,530.26
121,22,Male,association_football,DI,101,"6,060","6,108.28",138.51,15.93,16,3,3.63,25.92,64,60,8.54,7.05,60.48,60.27,582.96
121,22,Male,association_football,DI,85,"5,100","6,383.56",42.31,0,6,0,4.51,22.54,68,56,6.82,7.01,75.1,52.41,610.56
121,22,Male,association_football,DI,80,"4,800","5,253.33",222.4,54.95,23,8,3.94,27.54,71,64,6.48,9.04,65.67,64.03,534.45
121,22,Male,association_football,DI,90,"5,400","6,451.24",243.49,35.48,31,2,4.3,27.3,87,78,9.41,8.19,71.68,63.47,682.64
121,22,Male,association_football,DI,90,"5,400","5,347.38",297.74,42.21,32,7,3.56,26.29,60,39,9.34,7,59.42,61.12,564.35
121,22,Male,association_football,DI,90,"5,400","4,083.29",15.39,0,2,0,2.72,21.02,77,52,8.49,7.27,45.37,48.87,375.7
121,22,Male,association_football,DI,90,"5,400","4,524.20",64.3,4.59,10,1,3.02,26.09,61,50,7.71,6.09,50.27,60.66,430.57
121,22,Male,association_football,DI,110,"6,600",261.61,0,0,0,0,0.14,14.32,1,2,4.96,3.35,2.38,50.14,25.31
121,22,Male,association_football,DI,110,"6,600",238.46,0,0,0,0,0.13,16.4,2,0,3.66,0,2.17,57.43,21.28
121,22,Male,association_football,DI,80,"4,800","5,060.98",55.07,0,4,0,3.8,24.06,40,26,5.16,5.04,63.26,84.28,687.24
121,22,Male,association_football,DI,75,"4,500","3,817.60",19.51,8.66,3,1,3.05,25.02,31,16,5.6,5.01,50.9,87.63,425.16
121,22,Male,association_football,DI,95,"5,700","3,833.95",80.88,17.14,10,1,2.42,28.25,25,24,5.69,6.35,40.36,98.94,572.99
121,22,Male,association_football,DI,120,"7,200","3,800.02",0,0,0,0,1.9,19.49,36,22,5.83,5.27,31.67,68.26,366.15
121,22,Male,association_football,DI,108,"6,480","1,919.67",0,0,0,0,1.07,8.74,0,0,0,0,17.77,30.6,63.78
285,20,Male,american_football,DI-FCS,80,"4,800","2,187.10",163.12,122.03,16,9,1.64,30.45,34,41,9.46,9.84,27.34,0,278.42
285,20,Male,american_football,DI-FCS,80,"4,800","3,299.99",79.68,0,9,0,2.47,23.86,71,53,8.88,7.45,41.25,78.35,350.44
285,20,Male,american_football,DI-FCS,130,"7,800","5,707.40",200.91,23.98,18,3,2.63,26.36,90,75,9.39,7.59,43.9,86.58,669.71
285,20,Male,american_football,DI-FCS,137,"8,220","1,678.91",373.27,62.11,33,8,0.74,27.04,24,6,6.52,3.85,12.25,88.79,339.34
285,20,Male,american_football,DI-FCS,100,"6,000","2,997.45",19.55,0,2,0,1.8,22.51,58,41,9.59,8.93,29.97,73.92,332.63
