athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
1000,25,Male,american_football,DI,39,2340,2447.92,1269.04,58.74,60,6,3.36,24.88,25,7,7.22,3.74,62.77,13.52,1508.34
1000,25,Male,association_football,DI,279,16740,5191.18,73.76,736.37,7,14,0.99,40.3,0,0,0.0,0.0,18.61,2.45,603.31
1000,25,Male,american_football,DI-FCS,94,5640,1174.3,21.9,0.0,4,0,0.85,20.9,43,14,5.61,5.44,12.49,4.07,133.92
1000,25,Male,association_football,DI,117,7020,8441.43,176.57,114.91,21,4,4.34,29.93,77,57,5.48,6.75,72.15,14.51,975.76
1000,25,Male,association_football,DI,106,6360,919.76,0.0,0.0,0,0,0.52,15.3,5,3,4.37,4.05,8.68,3.43,82.78
1000,25,Male,association_football,DI,126,7560,7918.36,151.07,5.38,14,1,3.14,28.65,68,36,5.94,6.21,62.84,10.95,880.9
1001,23,Male,american_football,DI,99,5940,3911.53,103.23,4.6,15,1,2.56,27.05,77,48,8.04,7.52,39.51,9.47,479.8
1001,23,Male,association_football,DI,85,5100,4794.96,34.51,0.0,6,0,3.59,24.62,81,74,9.45,9.59,56.41,14.57,473.91
1001,23,Male,association_football,DI,110,6600,6069.96,200.35,0.0,20,0,3.97,23.41,34,35,6.18,5.94,55.18,16.96,765.63
1001,23,Male,american_football,DI,73,4380,2076.75,165.66,26.76,13,4,1.61,31.29,42,28,6.53,7.8,28.45,5.15,377.37
1002,26,Male,association_football,DI,117,7020,9127.52,197.58,73.4,19,5,4.68,29.12,92,99,5.96,7.92,78.01,16.06,1056.59
1002,26,Male,association_football,DI,119,7140,4350.19,33.36,0.0,6,0,2.58,23.15,88,77,6.82,9.35,36.56,11.12,433.58
1002,26,Male,american_football,DI,70,4200,1822.41,93.17,0.0,13,0,1.45,25.6,26,9,9.04,9.22,26.03,5.68,273.98
1002,26,Male,association_football,DI,125,7500,8664.35,200.77,36.84,15,2,4.54,33.42,50,32,4.56,5.42,69.31,13.58,997.84
1003,21,Male,association_football,DI,93,5580,4504.68,106.21,0.0,5,0,2.82,22.4,29,20,4.71,6.26,48.44,12.61,510.43
1003,21,Male,association_football,DI,114,6840,8938.74,101.55,0.0,7,0,3.98,27.77,60,31,7.41,5.57,78.41,14.32,910.39
1003,21,Male,association_football,DI,69,4140,3374.86,44.99,0.0,6,0,3.05,21.36,46,21,5.57,6.94,48.91,14.26,356.84
1003,21,Male,association_football,DI,82,4920,7473.0,96.41,0.0,8,0,5.4,23.73,50,36,6.1,7.54,91.13,22.74,774.85
1003,21,Male,association_football,DI,127,7620,7240.96,176.72,31.2,16,2,3.56,29.73,77,42,5.22,6.59,57.02,11.97,851.08
1004,27,Male,association_football,DI,126,7560,9597.89,522.67,112.59,49,10,4.29,24.65,106,102,5.97,6.82,76.17,17.4,1472.42
1004,27,Male,american_football,DI-FCS,101,6060,5585.99,466.11,245.76,51,17,3.39,30.45,128,134,8.3,8.8,55.31,11.13,1091.58
1004,27,Male,american_football,DI-FCS,92,5520,1975.55,205.55,4.77,26,1,2.19,28.04,69,83,7.14,9.44,21.47,7.8,417.89
1004,27,Male,association_football,DI,119,7140,6151.11,7.46,0.0,1,0,2.79,20.38,27,21,5.21,6.32,51.69,13.69,562.54
1004,27,Male,association_football,DI,92,5520,4863.86,21.74,0.0,3,0,3.08,20.12,45,76,6.17,7.86,52.87,15.31,462.71
1004,27,Male,association_football,DI,82,4920,5307.74,186.74,57.15,17,4,3.77,29.76,59,48,5.66,6.09,64.73,12.67,697.84
1005,31,Male,association_football,DI,86,5160,4810.78,327.94,45.19,36,7,2.69,26.08,57,60,7.13,8.18,55.94,10.33,829.48
1005,31,Male,american_football,DI,78,4680,3621.51,52.77,0.0,8,0,2.81,21.66,46,17,6.06,5.18,46.43,12.98,388.93
1005,31,Male,association_football,DI,111,6660,3148.93,0.0,0.0,0,0,1.81,14.72,26,17,8.94,8.01,28.37,12.29,283.4
1005,31,Male,association_football,DI,120,7200,3466.19,43.91,0.0,4,0,1.75,25.46,17,7,4.51,3.7,28.88,6.86,358.71
1005,31,Male,association_football,DI,92,5520,5233.18,178.16,30.83,27,4,3.67,28.99,67,52,8.27,7.21,56.88,12.65,700.7
1005,31,Male,association_football,DI,78,4680,5310.71,52.37,49.45,6,2,4.22,24.55,27,30,4.54,6.48,68.09,17.21,545.24
1006,22,Male,association_football,DI,98,5880,7572.49,279.72,119.83,30,8,5.16,35.08,62,69,6.11,7.36,77.27,14.71,1027.58
1006,22,Male,association_football,DI,92,5520,4071.16,93.92,0.0,5,0,2.92,18.21,35,33,6.14,5.09,44.25,16.05,460.31
1006,22,Male,american_football,DI,106,6360,1467.98,0.0,0.0,0,0,0.91,14.12,27,4,4.87,4.52,13.85,6.44,132.12
1007,27,Male,american_football,DI,122,7320,6533.6,269.81,64.38,22,8,2.95,28.37,48,25,6.94,6.59,53.55,10.41,905.23
1007,27,Male,american_football,DI-FCS,98,5880,2794.21,4.74,0.0,1,0,2.01,20.95,49,25,7.47,7.13,28.51,9.62,257.84
1007,27,Male,american_football,DI,105,6300,2342.57,0.0,0.0,0,0,1.36,18.13,75,38,8.1,6.95,22.31,7.53,210.83
1008,17,Male,association_football,DI,124,7440,3920.54,120.63,8.69,10,1,2.25,23.95,24,24,6.83,5.64,31.62,9.41,484.63
1008,17,Male,association_football,DI,94,5640,5778.07,100.33,18.16,13,2,4.28,24.6,64,62,6.14,9.02,61.47,17.4,643.17
1008,17,Male,american_football,DI-FCS,137,8220,5897.46,382.9,140.58,34,10,2.92,29.57,91,65,9.99,9.58,43.05,9.88,983.15
1008,17,Male,association_football,DI,114,6840,3348.8,113.06,44.86,10,3,1.48,26.94,8,2,5.32,3.93,29.38,5.49,436.3
1008,17,Male,american_football,DI,45,2700,2156.43,550.92,0.0,48,0,3.26,23.26,26,3,4.67,4.73,47.92,14.03,786.22
1009,30,Male,american_football,DI-FCS,136,8160,1792.09,271.19,127.94,30,8,0.74,28.17,23,5,8.14,3.3,13.18,2.63,496.08
1009,30,Male,association_football,DI,88,5280,6436.75,64.31,0.0,8,0,4.13,22.17,85,49,5.55,6.36,73.14,18.61,653.48
1009,30,Male,association_football,DI,68,4080,4733.41,52.01,0.0,6,0,4.36,25.21,77,79,5.28,8.09,69.61,17.28,484.44
1009,30,Male,association_football,DI,89,5340,6470.28,38.78,0.0,6,0,4.82,21.67,66,64,7.28,7.66,72.7,22.24,629.67
1009,30,Male,american_football,DI-FCS,99,5940,3207.51,43.65,0.0,8,0,2.08,21.19,111,99,9.99,9.36,32.4,9.84,344.6
1009,30,Male,association_football,DI,110,6600,11669.15,441.31,0.0,37,0,5.02,27.21,81,87,5.25,7.63,106.08,18.44,1520.74
1010,28,Male,association_football,DI,126,7560,5486.3,0.0,0.0,0,0,2.63,19.06,54,27,7.3,8.01,43.54,13.78,493.77
1010,28,Male,american_football,DI-FCS,87,5220,3240.15,17.55,0.0,4,0,2.46,22.07,85,75,7.95,9.06,37.24,11.13,315.62
1010,28,Male,association_football,DI,80,4800,8511.88,398.53,123.39,44,6,5.99,26.85,90,106,5.82,6.82,106.4,22.32,1236.65
1010,28,Male,american_football,DI,70,4200,3026.13,140.94,68.55,16,2,2.44,35.88,32,26,6.36,6.22,43.23,6.81,439.32
1011,32,Male,american_football,DI,135,8100,4521.53,258.24,28.13,23,2,2.29,31.25,71,40,6.57,6.84,33.49,7.32,693.82
