athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
1000,20,Female,association_football,DI,89,5340,1326.06,11.35,0.0,1,0,0.91,20.31,7,9,4.94,4.38,14.9,4.49,131.59
1000,20,Female,association_football,DI,121,7260,3969.95,117.97,47.41,17,7,2.32,24.57,39,53,5.35,7.65,32.81,9.44,523.52
1000,20,Female,association_football,DI,93,5580,2739.71,0.0,0.0,0,0,1.61,20.44,17,15,3.79,4.95,29.46,7.87,246.57
1000,20,Female,association_football,DI,102,6120,5361.88,65.33,60.37,9,3,3.05,27.13,27,32,4.65,6.48,52.57,11.22,572.17
1000,20,Female,association_football,DI,86,5160,4317.18,9.1,0.0,2,0,2.58,18.53,26,15,4.11,5.0,50.2,13.95,400.29
1000,20,Female,association_football,DI,93,5580,328.66,0.0,0.0,0,0,0.22,7.16,1,0,4.49,0.0,3.53,3.06,29.58
1001,22,Female,association_football,DI,123,7380,6293.34,63.81,35.23,10,4,3.14,24.29,42,39,5.65,4.69,51.17,12.94,660.33
1001,22,Female,association_football,DI,112,6720,511.99,0.0,0.0,0,0,0.28,7.11,0,0,0.0,0.0,4.57,3.99,46.08
1001,22,Female,association_football,DI,85,5100,3803.24,37.19,6.53,5,1,2.83,24.43,36,31,5.27,5.66,44.74,11.59,389.6
1002,26,Female,association_football,DI,109,6540,2909.1,62.77,4.55,7,1,1.76,24.31,17,19,5.4,7.65,26.69,7.26,335.85
1002,26,Female,association_football,DI,109,6540,2993.74,9.08,0.0,1,0,1.62,22.09,16,26,3.82,5.4,27.47,7.34,279.68
1002,26,Female,association_football,DI,74,4440,4620.28,39.64,3.63,4,1,3.82,24.52,7,10,5.73,5.92,62.44,15.59,463.04
1003,18,Female,association_football,DI,119,7140,615.72,0.0,0.0,0,0,0.34,12.75,6,1,5.11,3.73,5.17,2.69,55.41
1003,18,Female,association_football,DI,114,6840,3096.36,75.06,21.57,5,1,1.59,22.21,46,28,5.26,4.77,27.16,7.15,361.26
1003,18,Female,association_football,DI,122,7320,7101.86,60.13,0.0,9,0,3.11,22.98,22,31,4.63,5.58,58.21,13.56,710.56
1003,18,Female,association_football,DI,68,4080,2323.2,0.0,0.0,0,0,2.25,15.77,6,5,5.02,5.14,34.16,14.25,209.09
1003,18,Female,association_football,DI,60,3600,2135.12,51.94,0.0,8,0,2.47,19.17,15,18,4.95,5.31,35.59,12.88,254.3
1003,18,Female,association_football,DI,86,5160,1154.38,5.46,0.0,1,0,0.72,22.38,3,1,4.65,3.31,13.42,3.23,110.97
1004,27,Female,association_football,DI,90,5400,436.94,0.0,0.0,0,0,0.26,7.07,1,0,2.89,0.0,4.85,3.68,39.32
1004,27,Female,association_football,DI,51,3060,3484.9,141.76,42.04,17,4,4.16,21.93,19,2,4.61,4.21,68.33,18.98,489.73
1004,27,Female,association_football,DI,104,6240,3242.94,5.46,0.0,1,0,1.96,19.4,36,22,7.73,6.76,31.18,10.09,299.18
1004,27,Female,association_football,DI,48,2880,2209.45,153.04,126.25,16,7,2.62,26.33,19,17,4.43,5.08,46.03,9.95,394.38
1004,27,Female,association_football,DI,117,7020,4310.74,230.96,72.05,23,5,2.34,24.38,22,17,4.63,6.32,36.84,9.6,661.44
1004,27,Female,association_football,DI,122,7320,2415.16,47.99,8.07,5,1,1.4,22.04,27,22,4.65,5.98,19.8,6.35,275.66
1005,17,Female,association_football,DI,112,6720,4637.03,30.55,0.0,7,0,2.0,20.65,29,35,5.44,6.44,41.4,9.69,459.24
1005,17,Female,association_football,DI,90,5400,5175.79,43.48,20.18,7,3,2.91,25.9,40,49,7.36,6.76,57.51,11.23,532.53
1005,17,Female,association_football,DI,126,7560,7479.93,286.53,70.27,31,6,3.62,24.84,44,40,5.21,5.8,59.36,14.57,1017.23
1005,17,Female,association_football,DI,87,5220,3515.62,27.2,0.0,3,0,2.08,21.54,13,16,4.59,6.83,40.41,9.66,346.09
1005,17,Female,association_football,DI,98,5880,4966.78,4.34,0.0,1,0,3.59,18.87,25,28,4.95,5.62,50.68,19.03,452.96
1005,17,Female,association_football,DI,58,3480,3240.05,197.92,87.42,30,5,2.82,24.55,17,1,5.21,2.76,55.86,11.5,549.81
1006,28,Female,association_football,DI,105,6300,4148.66,36.92,0.0,4,0,2.27,22.43,32,28,4.15,6.35,39.51,10.14,414.39
1006,28,Female,association_football,DI,89,5340,5786.61,355.0,0.0,43,0,3.67,20.63,36,11,4.94,3.9,65.02,17.79,926.59
1006,28,Female,association_football,DI,61,3660,1855.41,8.4,0.0,2,0,1.83,19.23,23,15,5.42,5.96,30.42,9.53,178.94
1007,21,Female,association_football,DI,95,5700,4545.03,37.81,36.72,5,2,3.12,29.56,20,26,5.9,6.05,47.84,10.56,462.08
1007,21,Female,association_football,DI,79,4740,3676.71,0.0,0.0,0,0,2.66,18.76,15,17,4.66,4.58,46.54,14.2,330.9
1007,21,Female,association_football,DI,122,7320,2486.74,0.0,0.0,0,0,1.34,15.29,17,12,3.7,5.41,20.38,8.77,223.81
1008,24,Female,association_football,DI,96,5760,451.48,0.0,0.0,0,0,0.31,5.8,0,0,0.0,0.0,4.7,5.26,40.63
1008,24,Female,association_football,DI,88,5280,3440.44,20.89,0.0,3,0,2.34,21.68,25,26,4.99,5.47,39.1,10.79,334.57
1008,24,Female,association_football,DI,120,7200,5455.38,154.07,144.93,19,11,2.65,28.42,34,39,7.07,5.97,45.46,9.33,710.86
1009,23,Female,association_football,DI,119,7140,2288.63,0.0,0.0,0,0,1.22,17.98,11,5,4.37,4.59,19.23,6.81,205.98
1009,23,Female,association_football,DI,107,6420,2506.42,73.1,26.83,9,2,1.63,24.04,11,13,5.58,4.66,23.42,6.79,317.12
1009,23,Female,association_football,DI,90,5400,4449.86,37.32,8.36,8,1,2.96,23.08,25,28,6.04,6.06,49.44,12.83,452.31
1009,23,Female,association_football,DI,100,6000,8360.5,352.11,137.7,44,16,5.22,26.35,25,37,6.08,7.23,83.61,19.81,1222.41
1009,23,Female,association_football,DI,100,6000,6714.58,57.43,5.53,12,1,3.98,23.8,57,35,5.32,5.26,67.15,16.72,685.2
1010,20,Female,association_football,DI,92,5520,1135.45,0.0,0.0,0,0,0.8,10.06,1,0,3.55,0.0,12.34,7.91,102.19
1010,20,Female,association_football,DI,57,3420,2885.18,143.4,45.39,16,3,3.24,22.89,19,7,5.19,3.91,50.62,14.16,432.41
1010,20,Female,association_football,DI,60,3600,1645.1,0.0,0.0,0,0,1.63,17.31,5,0,3.98,0.0,27.42,9.43,148.06
1010,20,Female,association_football,DI,74,4440,4497.78,143.0,33.75,13,2,3.64,25.27,18,17,5.03,5.99,60.78,14.4,569.04
1011,23,Female,association_football,DI,122,7320,5991.76,57.58,64.74,8,3,3.54,27.16,69,55,5.34,5.67,49.11,13.05,617.33
1011,23,Female,association_football,DI,75,4500,2428.76,0.0,0.0,0,0,2.19,18.98,20,12,4.45,4.85,32.38,11.54,218.59
1011,23,Female,association_football,DI,85,5100,3382.24,26.71,0.0,4,0,2.07,19.32,34,19,5.56,5.17,39.79,10.73,336.05
1011,23,Female,association_football,DI,82,4920,3024.54,56.89,4.38,10,1,1.95,23.81,27,18,4.95,6.68,36.88,8.19,347.68
1011,23,Female,association_football,DI,89,5340,5618.23,56.63,0.0,7,0,4.05,22.29,58,35,5.15,4.48,63.13,18.15,570.72
1011,23,Female,association_football,DI,115,6900,420.87,0.0,0.0,0,0,0.21,7.68,0,0,0.0,0.0,3.66,2.76,37.88
1012,22,Female,association_football,DI,96,5760,3426.09,0.0,0.0,0,0,1.87,20.02,17,12,9.99,5.85,35.69,9.35,308.35
1012,22,Female,association_football,DI,92,5520,6838.09,120.52,38.77,18,3,4.61,22.24,30,32,4.92,5.07,74.33,20.73,772.68
1012,22,Female,association_football,DI,105,6300,701.58,0.0,0.0,0,0,0.43,8.95,0,0,0.0,0.0,6.68,4.8,63.14
1013,20,Female,association_football,DI,99,5940,3365.65,0.0,0.0,0,0,2.16,16.29,22,18,4.9,8.8,34.0,13.25,302.91
1013,20,Female,association_football,DI,88,5280,417.2,0.0,0.0,0,0,0.32,5.03,0,0,0.0,0.0,4.74,6.4,37.55
1013,20,Female,association_football,DI,95,5700,1013.11,8.32,0.0,1,0,0.58,20.94,10,1,4.76,2.73,10.66,2.77,100.63
1013,20,Female,association_football,DI,93,5580,184.37,0.0,0.0,0,0,0.12,6.55,0,0,0.0,0.0,1.98,1.87,16.59
1013,20,Female,association_football,DI,113,6780,1459.39,0.0,0.0,0,0,1.02,19.76,33,20,5.02,5.16,12.91,5.16,131.35
1014,18,Female,association_football,DI,99,5940,3296.23,18.45,0.0,4,0,2.1,21.77,23,13,4.76,4.93,33.3,9.67,322.08
1014,18,Female,association_football,DI,87,5220,2901.29,6.33,0.0,1,0,2.03,20.09,22,15,5.08,4.9,33.35,10.1,268.28
1014,18,Female,association_football,DI,94,5640,4786.15,176.43,64.36,12,4,3.1,27.99,26,43,4.68,6.9,50.92,11.09,630.87
1015,22,Female,association_football,DI,121,7260,3294.33,0.0,0.0,0,0,1.7,17.92,33,15,4.75,5.26,27.23,9.47,296.49
1015,22,Female,association_football,DI,104,6240,3712.43,25.29,0.0,3,0,2.77,20.95,35,36,4.57,6.74,35.7,13.21,363.45
