athlete_number,athlete_relative_age,active_minutes,total_distance_m,max_speed_kph,session_load,total_dist_perc_rank,max_speed_perc_rank,session_load_perc_rank
1018,18,90,3880.64,24.26,458.53,49.54248366,70.13071895,47.25490196
1018,18,120,2742.19,26.04,357.28,35.29411765,84.31372549,36.14379085
1018,18,90,5627.94,22.02,1039.85,76.92810458,51.76470588,88.03921569
1018,18,90,4359.94,21.78,561.44,57.25490196,48.88888889,57.32026144
1018,18,90,484.12,4.78,15.35,11.4379085,0.130718954,1.503267974
1018,18,120,1319.92,19.37,143.63,19.47712418,24.96732026,17.97385621
1018,18,120,377.49,8.09,38.1,5.22875817,7.189542484,10.26143791
1018,18,120,5641.85,19.92,762.98,77.12418301,28.75816993,73.1372549
1018,18,120,2835.94,18.8,389.32,36.92810458,22.15686275,39.01960784
1018,18,120,4559.67,21.5,629.93,60.8496732,45.62091503,62.61437908
1018,18,120,436.85,8.34,45.68,8.104575163,7.843137255,12.74509804
1018,18,120,5759.73,25.41,860.16,78.36601307,80.58823529,78.88888889
1018,18,120,5661.5,24.22,893.52,77.25490196,69.73856209,80.91503268
1018,18,90,1907.2,19.72,188.24,23.9869281,27.25490196,21.76470588
1018,18,120,2625.19,17.31,311.75,32.87581699,18.82352941,32.41830065
1018,18,90,1592.27,23.05,177.96,21.69934641,62.09150327,20.45751634
1018,18,90,2873.59,24.48,479.39,37.25490196,72.02614379,49.67320261
1018,18,90,1579.99,22.88,280.12,21.4379085,60.39215686,29.73856209
1018,18,120,2772.64,18.58,291.84,35.81699346,21.50326797,30.58823529
1018,18,120,8274.06,24.82,1324.26,95.94771242,75.49019608,94.96732026
1018,18,120,5324.1,25.61,770.28,72.2875817,82.09150327,73.52941176
1018,18,120,5636.81,22.4,758.99,77.05882353,55.16339869,73.00653595
1018,18,90,846.76,10.02,68.07,15.94771242,10.98039216,15.03267974
1018,18,90,2120.28,23.02,389.05,26.47058824,61.63398693,38.95424837
1018,18,120,5038.21,42.02,560.9,68.36601307,98.82352941,57.05882353
1018,18,120,4335.08,24.76,560.58,56.79738562,75.03267974,56.99346405
1018,18,120,5087.93,20.81,674.2,69.01960784,37.38562092,66.20915033
1018,18,90,3914.63,20.59,551.48,50.52287582,34.83660131,56.47058824
1018,18,120,2624.79,40.84,444.55,32.81045752,97.45098039,45.03267974
1018,18,120,5625.62,40.91,833.35,76.8627451,98.30065359,77.64705882
1018,18,90,2424.54,21.8,398.54,30.19607843,49.21568627,40.13071895
1018,18,90,4297.37,21.35,593.28,55.81699346,44.50980392,59.47712418
1018,18,90,4065.38,21.53,517.85,52.61437908,45.94771242,53.33333333
1018,18,85,3485.78,19.98,439.02,43.66013072,29.01960784,44.24836601
1018,18,90,4475.29,24.62,590.1,59.54248366,73.52941176,59.21568627
1018,18,120,431.93,12.34,27.37,7.647058824,13.59477124,5.032679739
1018,18,120,473.75,7.5,34.37,10.8496732,5.098039216,7.908496732
1018,18,120,651.24,10.67,33.44,14.83660131,12.02614379,7.516339869
1018,18,120,426.95,6.58,21.17,7.189542484,2.483660131,2.614379085
1018,18,120,543.48,8.06,32.3,12.67973856,6.993464052,6.797385621
1018,18,90,470.59,7.82,29.92,10.58823529,6.14379085,5.68627451
1018,18,90,3685.91,23.46,565.86,46.07843137,65.4248366,57.7124183
1018,18,90,2965.78,20.55,404.39,38.36601307,34.5751634,40.65359477
1018,18,120,452.21,8.42,35.26,9.411764706,8.104575163,8.431372549
1018,18,120,519.65,7.6,19.41,12.15686275,5.424836601,2.287581699
1018,18,90,3603,20.9,467.57,44.96732026,39.01960784,48.69281046
1018,18,90,1800.37,19.54,224.4,23.33333333,26.07843137,24.83660131
1018,18,90,4842.84,21.15,730.12,65.4248366,41.96078431,70.65359477
1081,18,90,7606.28,23.98,985.12,93.07189542,68.23529412,85.16339869
1081,18,90,7031.86,25.34,999.52,90.19607843,79.93464052,86.0130719
1081,18,120,1904.57,17.75,336.5,23.92156863,19.47712418,34.37908497
1081,18,90,1237.55,15.19,201.64,18.69281046,17.18954248,22.74509804
1081,18,120,5269.62,28.19,1079.28,71.50326797,94.5751634,89.41176471
1081,18,120,5535.15,26.86,1220.33,75.4248366,89.67320261,93.33333333
1081,18,120,2018.08,23.18,398.02,25.35947712,63.07189542,40.06535948
1081,18,120,382.69,10.19,46.17,5.359477124,11.17647059,12.94117647
1081,18,120,226.68,7.02,27.43,1.699346405,3.921568627,5.098039216
1081,18,120,2051.41,19.65,153.93,25.88235294,26.92810458,18.62745098
